major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0        264 loop0
   7        1        888 loop1
   7        2      84832 loop2
   7        3      19040 loop3
 259        0         64 pmem0
 179        0  122142720 mmcblk0
 179        1      10240 mmcblk0p1
 179        2       1024 mmcblk0p2
 179        3       1024 mmcblk0p3
 179        4       6144 mmcblk0p4
 179        5       6144 mmcblk0p5
 179        6       1024 mmcblk0p6
 179        7       1024 mmcblk0p7
 259        1       1024 mmcblk0p8
 259        2       1024 mmcblk0p9
 259        3       4096 mmcblk0p10
 259        4       8192 mmcblk0p11
 259        5       8192 mmcblk0p12
 259        6       2048 mmcblk0p13
 259        7       2048 mmcblk0p14
 259        8       2048 mmcblk0p15
 259        9       2048 mmcblk0p16
 259       10       2048 mmcblk0p17
 259       11       2048 mmcblk0p18
 259       12       1024 mmcblk0p19
 259       13       1024 mmcblk0p20
 259       14      10240 mmcblk0p21
 259       15      10240 mmcblk0p22
 259       16       2048 mmcblk0p23
 259       17      25600 mmcblk0p24
 259       18      25600 mmcblk0p25
 259       19       1024 mmcblk0p26
 259       20       1024 mmcblk0p27
 259       21      10240 mmcblk0p28
 259       22      10240 mmcblk0p29
 259       23      20480 mmcblk0p30
 259       24      20480 mmcblk0p31
 259       25       6144 mmcblk0p32
 259       26       6144 mmcblk0p33
 259       27       1024 mmcblk0p34
 259       28       1024 mmcblk0p35
 259       29       1024 mmcblk0p36
 259       30       1024 mmcblk0p37
 259       31       1024 mmcblk0p38
 259       32       1024 mmcblk0p39
 259       33      10240 mmcblk0p40
 259       34      10240 mmcblk0p41
 259       35      65536 mmcblk0p42
 259       36      65536 mmcblk0p43
 259       37     102400 mmcblk0p44
 259       38     102400 mmcblk0p45
 259       39       8192 mmcblk0p46
 259       40       8192 mmcblk0p47
 259       41       8192 mmcblk0p48
 259       42       8192 mmcblk0p49
 259       43    6500352 mmcblk0p50
 259       44     102400 mmcblk0p51
 259       45      76800 mmcblk0p52
 259       46      76800 mmcblk0p53
 259       47      25600 mmcblk0p54
 259       48      25600 mmcblk0p55
 259       49       1024 mmcblk0p56
 259       50       1024 mmcblk0p57
 259       51      16384 mmcblk0p58
 259       52      10240 mmcblk0p59
 259       53       1024 mmcblk0p60
 259       54       1024 mmcblk0p61
 259       55       1024 mmcblk0p62
 259       56       1024 mmcblk0p63
 259       57       1024 mmcblk0p64
 259       58       1024 mmcblk0p65
 259       59       1024 mmcblk0p66
 259       60       1024 mmcblk0p67
 259       61       1024 mmcblk0p68
 259       62       1024 mmcblk0p69
 259       63       1024 mmcblk0p70
 259       64       1024 mmcblk0p71
 259       65       8192 mmcblk0p72
 259       66       8192 mmcblk0p73
 259       67      16384 mmcblk0p74
 259       68      16384 mmcblk0p75
 259       69  114635759 mmcblk0p76
 179       16       4096 mmcblk0boot1
 179        8       4096 mmcblk0boot0
 179       24  250347520 mmcblk1
 179       25  250346479 mmcblk1p1
 253        0    1346140 dm-0
 253        1     370568 dm-1
 253        2    1850488 dm-2
 253        3     595004 dm-3
